tier,judge_model,judge_score,judge_display
T0,claude-opus-4-5-20251101,0.96,Opus 4.5
T0,claude-sonnet-4-5-20250929,0.96,Sonnet 4.5
T0,claude-haiku-4-5,1.0,Haiku 4.5
T1,claude-opus-4-5-20251101,0.95,Opus 4.5
T1,claude-sonnet-4-5-20250929,0.96,Sonnet 4.5
T1,claude-haiku-4-5,1.0,Haiku 4.5
T2,claude-opus-4-5-20251101,0.95,Opus 4.5
T2,claude-sonnet-4-5-20250929,1.0,Sonnet 4.5
T2,claude-haiku-4-5,1.0,Haiku 4.5
T3,claude-opus-4-5-20251101,0.96,Opus 4.5
T3,claude-sonnet-4-5-20250929,1.0,Sonnet 4.5
T3,claude-haiku-4-5,0.99,Haiku 4.5
T4,claude-opus-4-5-20251101,0.95,Opus 4.5
T4,claude-sonnet-4-5-20250929,1.0,Sonnet 4.5
T4,claude-haiku-4-5,0.9286,Haiku 4.5
T5,claude-opus-4-5-20251101,0.95,Opus 4.5
T5,claude-sonnet-4-5-20250929,1.0,Sonnet 4.5
T5,claude-haiku-4-5,1.0,Haiku 4.5
T6,claude-opus-4-5-20251101,0.93,Opus 4.5
T6,claude-sonnet-4-5-20250929,0.9,Sonnet 4.5
T6,claude-haiku-4-5,1.0,Haiku 4.5
