agent_model,tier,token_type,tokens,token_type_label,token_type_order
Sonnet 4.5,T0,input_tokens,29.0,Input (Fresh),0
Sonnet 4.5,T1,input_tokens,25.0,Input (Fresh),0
Sonnet 4.5,T2,input_tokens,29.0,Input (Fresh),0
Sonnet 4.5,T3,input_tokens,25.0,Input (Fresh),0
Sonnet 4.5,T4,input_tokens,23.0,Input (Fresh),0
Sonnet 4.5,T5,input_tokens,26.0,Input (Fresh),0
Sonnet 4.5,T6,input_tokens,29.0,Input (Fresh),0
Sonnet 4.5,T0,output_tokens,656.0,Output,2
Sonnet 4.5,T1,output_tokens,558.0,Output,2
Sonnet 4.5,T2,output_tokens,711.0,Output,2
Sonnet 4.5,T3,output_tokens,668.0,Output,2
Sonnet 4.5,T4,output_tokens,725.0,Output,2
Sonnet 4.5,T5,output_tokens,625.0,Output,2
Sonnet 4.5,T6,output_tokens,722.0,Output,2
Sonnet 4.5,T0,cache_creation_tokens,23106.0,Cache Creation,3
Sonnet 4.5,T1,cache_creation_tokens,23266.0,Cache Creation,3
Sonnet 4.5,T2,cache_creation_tokens,23350.0,Cache Creation,3
Sonnet 4.5,T3,cache_creation_tokens,23352.0,Cache Creation,3
Sonnet 4.5,T4,cache_creation_tokens,23556.0,Cache Creation,3
Sonnet 4.5,T5,cache_creation_tokens,4629.0,Cache Creation,3
Sonnet 4.5,T6,cache_creation_tokens,44337.0,Cache Creation,3
Sonnet 4.5,T0,cache_read_tokens,112686.0,Input (Cached),1
Sonnet 4.5,T1,cache_read_tokens,91477.0,Input (Cached),1
Sonnet 4.5,T2,cache_read_tokens,113858.0,Input (Cached),1
Sonnet 4.5,T3,cache_read_tokens,91771.0,Input (Cached),1
Sonnet 4.5,T4,cache_read_tokens,91828.0,Input (Cached),1
Sonnet 4.5,T5,cache_read_tokens,109368.0,Input (Cached),1
Sonnet 4.5,T6,cache_read_tokens,218778.0,Input (Cached),1
