agent_model,tier,phase,duration,phase_label
Sonnet 4.5,T0,agent_duration_seconds,35.340126,Agent Execution
Sonnet 4.5,T1,agent_duration_seconds,29.340583,Agent Execution
Sonnet 4.5,T2,agent_duration_seconds,36.840063,Agent Execution
Sonnet 4.5,T3,agent_duration_seconds,29.9015,Agent Execution
Sonnet 4.5,T4,agent_duration_seconds,41.174623,Agent Execution
Sonnet 4.5,T5,agent_duration_seconds,24.755993,Agent Execution
Sonnet 4.5,T6,agent_duration_seconds,28.364256,Agent Execution
Sonnet 4.5,T0,judge_duration_seconds,167.792498,Judge Evaluation
Sonnet 4.5,T1,judge_duration_seconds,178.006336,Judge Evaluation
Sonnet 4.5,T2,judge_duration_seconds,161.682163,Judge Evaluation
Sonnet 4.5,T3,judge_duration_seconds,149.100918,Judge Evaluation
Sonnet 4.5,T4,judge_duration_seconds,137.034416,Judge Evaluation
Sonnet 4.5,T5,judge_duration_seconds,128.37437,Judge Evaluation
Sonnet 4.5,T6,judge_duration_seconds,141.114945,Judge Evaluation
