experiment,tier,pass_rate
test-001,T0,0.9583333333333334
test-001,T1,1.0
test-001,T2,1.0
test-001,T3,1.0
test-001,T4,1.0
test-001,T5,1.0
test-001,T6,1.0
test-002,T0,0.9027777777777778
test-002,T1,0.9333333333333333
test-002,T2,0.9555555555555556
test-002,T3,0.967479674796748
test-002,T4,0.9761904761904762
test-002,T5,0.9555555555555556
test-002,T6,1.0
test-003,T0,0.9444444444444444
test-003,T1,0.9666666666666667
test-003,T2,0.9777777777777777
test-003,T3,0.959349593495935
test-003,T4,0.9523809523809523
test-003,T5,0.9333333333333333
test-003,T6,1.0
