experiment,tier,pass_rate,rank
test-001,T0,0.9583333333333334,3.0
test-001,T1,1.0,1.5
test-001,T2,1.0,1.5
test-001,T3,0.34959349593495936,4.0
test-001,T4,0.0,6.0
test-001,T5,0.0,6.0
test-001,T6,0.0,6.0
test-002,T0,0.9027777777777778,7.0
test-002,T1,0.9333333333333333,6.0
test-002,T2,0.9555555555555556,4.5
test-002,T3,0.967479674796748,3.0
test-002,T4,0.9761904761904762,2.0
test-002,T5,0.9555555555555556,4.5
test-002,T6,1.0,1.0
test-003,T0,0.9444444444444444,6.0
test-003,T1,0.9666666666666667,3.0
test-003,T2,0.9777777777777777,2.0
test-003,T3,0.959349593495935,4.0
test-003,T4,0.9523809523809523,5.0
test-003,T5,0.9333333333333333,7.0
test-003,T6,1.0,1.0
