judge_model,judge_score,judge_display
claude-opus-4-5-20251101,0.96,Opus 4.5
claude-sonnet-4-5-20250929,0.96,Sonnet 4.5
claude-haiku-4-5,1.0,Haiku 4.5
claude-opus-4-5-20251101,0.95,Opus 4.5
claude-sonnet-4-5-20250929,0.96,Sonnet 4.5
claude-haiku-4-5,1.0,Haiku 4.5
claude-opus-4-5-20251101,0.95,Opus 4.5
claude-sonnet-4-5-20250929,1.0,Sonnet 4.5
claude-haiku-4-5,1.0,Haiku 4.5
claude-opus-4-5-20251101,0.96,Opus 4.5
claude-sonnet-4-5-20250929,1.0,Sonnet 4.5
claude-haiku-4-5,0.99,Haiku 4.5
claude-opus-4-5-20251101,0.95,Opus 4.5
claude-sonnet-4-5-20250929,1.0,Sonnet 4.5
claude-haiku-4-5,0.9286,Haiku 4.5
claude-opus-4-5-20251101,0.95,Opus 4.5
claude-sonnet-4-5-20250929,1.0,Sonnet 4.5
claude-haiku-4-5,1.0,Haiku 4.5
claude-opus-4-5-20251101,0.93,Opus 4.5
claude-sonnet-4-5-20250929,0.9,Sonnet 4.5
claude-haiku-4-5,1.0,Haiku 4.5
